id,cluster_id
AVpfEf_hLJeJML431ueH,0
AVpi74XfLJeJML43qZAc,2
AVpi74XfLJeJML43qZAc,2
AVpjXyCc1cnluZ0-V-Gj,2
AVphGKLPilAPnD_x1Nrm,2
AVpg91ziilAPnD_xziOo,2
AVpjGKXyLJeJML43r8BH,0
AVpjGKXyLJeJML43r8BH,0
AVpfLXyhilAPnD_xWmNc,2
AVpfeWdJ1cnluZ0-lXYU,2
AVpfeWdJ1cnluZ0-lXYU,2
AVpf38PKLJeJML43FRwO,2
AVph9abqilAPnD_x_Nrp,2
AVph9abqilAPnD_x_Nrp,2
AVpgNGD6ilAPnD_xpAke,2
AVpgBzl41cnluZ0-vSQf,2
AVpgBzl41cnluZ0-vSQf,2
AVpgBzl41cnluZ0-vSQf,2
AVpivUm2ilAPnD_xHGfN,2
AVpivUm2ilAPnD_xHGfN,2
AV_NPBzfHh53nbDRAFPa,0
AVpfGWT3ilAPnD_xU7MQ,2
AVphXIhELJeJML43Z-74,2
AVphX0ZbLJeJML43aHNG,2
AVpjDTKT1cnluZ0-TF44,2
AVphf6M51cnluZ0-DNIG,2
AVpfk-Q81cnluZ0-nUsT,2
AV-ncxniKZqtpbFMS0GX,3
AV-ncxniKZqtpbFMS0GX,3
AV14CA98vKc47QAVnx6N,3
AV-KM264uC1rwyj_gSfJ,0
AV-KM264uC1rwyj_gSfJ,0
AV-KM264uC1rwyj_gSfJ,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV_EeG8jKZqtpbFMTSuy,0
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
AV2cVsE7vKc47QAVpJKS,3
